5.7955,1.2357,4.3797,15.124,3.453,2.8066,4.9747,3.6271,9.3255,2.0204,7.3115,22.158,3.9781,2.349,4.8028,1.0191,0.87145,1.9138,3.5429,4.6576,3.54,2.1424,1.0837,4.9273,13.478,2.3582,7.6768,3.6542,2.858,2.5879
5.6275,1.2335,7.3654,12.348,3.0071,2.8066,4.4165,3.453,7.4917,2.9361,5.7513,13.872,5.7695,2.2762,4.2852,0.92531,0.89,5.4759,3.5967,4.5442,2.9525,0.96954,1.5025,4.1814,25.918,2.4813,8.8076,3.6549,8.2493,2.3286
5.4035,0.92139,7.7285,7.5523,2.584,2.8066,4.6148,3.6299,15.26,6.3295,3.8536,7.1378,11.484,2.4296,4.1168,0.83613,0.84969,8.9417,4.1628,3.509,2.1064,0.81865,3.0178,3.2482,12.728,2.5469,9.4418,4.4739,8.7855,2.0711
5.1342,0.98132,6.5389,4.6751,2.894,2.8066,3.8154,3.7169,10.521,8.3749,2.6118,4.2641,11.573,2.838,4.6444,0.75159,0.67954,5.05,4.4628,2.4585,2.8352,1.2906,3.7587,2.5209,5.2305,2.7695,6.6134,5.8965,5.7563,1.8142
5.0264,1.3355,8.9817,3.8504,2.7324,2.8844,3.2429,3.8978,14.181,7.4945,1.8949,3.2707,11.712,3.4762,4.5741,0.68346,0.88821,2.9868,4.5163,2.4346,2.4834,2.6019,3.7508,2.9347,2.9821,2.1281,4.0819,6.2175,4.033,1.5631
4.6644,1.2549,8.9817,4.593,2.2038,3.0788,3.1198,4.0326,27.098,11.16,1.648,3.5183,9.1921,3.4565,4.5763,0.6271,1.1504,2.9272,6.6281,4.847,2.2451,7.0365,3.2671,5.091,2.4767,1.9694,3.316,4.8135,3.3192,1.3726
4.6644,1.4069,8.9817,2.8901,2.0714,3.0788,3.3659,3.4965,13.675,10.746,1.4943,3.8015,5.6086,3.2504,4.7675,0.57145,1.7586,8.6799,5.7937,5.4962,2.385,6.9905,2.7592,3.3788,2.7099,1.9833,2.9432,2.8851,3.311,1.2228
4.6644,1.1843,8.9817,3.143,1.913,3.0788,3.3659,3.042,8.7131,10.454,1.5371,3.9124,4.3287,3.0263,4.9159,0.51688,2.3547,22.684,4.9465,5.559,2.38,5.4648,2.7517,2.5084,2.4574,1.8228,3.0923,3.5286,3.1587,1.4786
4.6644,1.0266,8.9817,2.1685,1.795,2.8844,3.4095,2.3486,6.1244,14.757,1.6366,3.886,6.8189,2.7816,5.0478,0.47193,2.6468,17.648,5.3139,5.7677,1.9783,4.7289,2.7517,2.3689,2.4446,1.556,3.5293,5.1242,2.9689,1.19
4.6644,0.96134,5.2019,2.3746,1.9234,2.8066,3.6706,2.0072,3.9427,11.345,1.4732,2.9625,4.0644,3.0099,5.0964,0.4491,2.6629,8.3374,4.8224,6.22,2.0065,4.3173,2.7342,1.7297,1.9651,1.5535,2.96,4.4511,2.9689,1.0113
